State_Name,District_Name,YEAR,Season,Crop,Area,Production,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
arunachal pradesh,changlang,2012,whole year,potato,105.0,683.0,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2
arunachal pradesh,changlang,2012,whole year,turmeric,85.0,553.0,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2
arunachal pradesh,changlang,2013,kharif,maize,880.0,1074.0,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6
arunachal pradesh,changlang,2013,kharif,rice,9681.0,19750.0,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6
arunachal pradesh,changlang,2013,kharif,small millets,1580.0,909.0,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6
arunachal pradesh,changlang,2013,rabi,wheat,280.0,521.0,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6
arunachal pradesh,changlang,2013,whole year,dry chillies,722.0,2527.0,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6
arunachal pradesh,changlang,2013,whole year,dry ginger,505.0,3904.0,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6
arunachal pradesh,changlang,2013,whole year,oilseeds total,4678.0,3713.0,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6
arunachal pradesh,changlang,2013,whole year,potato,110.0,715.0,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6
arunachal pradesh,changlang,2013,whole year,sugarcane,561.0,7097.0,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6
arunachal pradesh,changlang,2013,whole year,turmeric,86.0,559.0,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6
arunachal pradesh,changlang,2014,kharif,maize,945.0,1476.0,19.0,101.9,80.3,86.7,299.0,415.8,392.4,599.6,343.0,35.1,20.1,10.2
arunachal pradesh,changlang,2014,kharif,rice,9081.0,20169.0,19.0,101.9,80.3,86.7,299.0,415.8,392.4,599.6,343.0,35.1,20.1,10.2
arunachal pradesh,changlang,2014,kharif,small millets,1797.0,1121.0,19.0,101.9,80.3,86.7,299.0,415.8,392.4,599.6,343.0,35.1,20.1,10.2
arunachal pradesh,changlang,2014,rabi,wheat,373.0,858.0,19.0,101.9,80.3,86.7,299.0,415.8,392.4,599.6,343.0,35.1,20.1,10.2
arunachal pradesh,changlang,2014,whole year,dry chillies,733.0,2489.0,19.0,101.9,80.3,86.7,299.0,415.8,392.4,599.6,343.0,35.1,20.1,10.2
arunachal pradesh,changlang,2014,whole year,dry ginger,592.0,4194.0,19.0,101.9,80.3,86.7,299.0,415.8,392.4,599.6,343.0,35.1,20.1,10.2
arunachal pradesh,changlang,2014,whole year,oilseeds total,4793.0,3820.0,19.0,101.9,80.3,86.7,299.0,415.8,392.4,599.6,343.0,35.1,20.1,10.2
arunachal pradesh,changlang,2014,whole year,potato,129.0,1101.0,19.0,101.9,80.3,86.7,299.0,415.8,392.4,599.6,343.0,35.1,20.1,10.2
